Title,Color,Price,Rating,Offer
Apple iPhone 14 Pro Max,Silver,177999,4.6,0.0
Apple iPhone 5s,Gold,14999,4.4,0.0
Apple iPhone 12 Pro,Pacific Blue,139900,4.5,0.0
Apple iPhone 13 Pro,Alpine Green,169900,4.7,0.0
Apple iPhone 13 Pro,Alpine Green,149900,4.7,0.0
Apple iPhone 12 Pro,Gold,139900,4.5,0.0
Apple iPhone 13 Pro,Graphite,169900,4.7,0.0
Apple iPhone 13 Pro,Sierra Blue,149900,4.7,0.0
Apple iPhone 13 Pro Max,Sierra Blue,159900,4.6,7.0
Apple iPhone 13 Pro,Gold,169900,4.7,7.0
Apple iPhone 13 Pro Max,Silver,159900,4.6,0.0
Apple iPhone 12 Pro,Silver,139900,4.5,0.0
Apple iPhone 13 mini,Blue,94900,4.5,0.0
Apple iPhone 13 Pro Max,Alpine Green,159900,4.6,0.0
Apple iPhone 13 Pro Max,Graphite,139900,4.6,0.0
Apple iPhone 12 Pro,Graphite,139900,4.5,0.0
Apple iPhone 11 Pro,Midnight Green,140300,4.6,0.0
Apple iPhone XR,Coral,91900,4.6,0.0
Apple iPhone XR,Blue,91900,4.6,0.0
Apple iPhone 13 Pro Max,Alpine Green,139900,4.6,0.0
Apple iPhone 13 Pro,Silver,149900,4.7,0.0
Apple iPhone XR,Yellow,47900,4.6,0.0
Apple iPhone 13 Pro,Graphite,149900,4.7,0.0
Apple iPhone 7 Plus,Silver,85400,4.5,0.0
Apple iPhone XR,Blue,47900,4.6,0.0
Apple iPhone XR,Yellow,47900,4.6,0.0
Apple iPhone 11 Pro,Silver,140300,4.6,0.0
Apple iPhone XR,Blue,47900,4.6,0.0
Apple iPhone 13 Pro Max,Sierra Blue,139900,4.6,0.0
Apple iPhone XR,Blue,52900,4.6,0.0
Apple iPhone SE 3rd Gen,Product (Red),49900,4.4,0.0
Apple iPhone 12 Pro Max,Silver,149900,4.5,0.0
Apple iPhone 7 Plus,Gold,85400,4.5,7.0
Apple iPhone XR,Coral,52900,4.6,0.0
Apple iPhone 12 Pro Max,Graphite,149900,4.5,0.0
Apple iPhone 7,Gold,34900,4.5,0.0
Apple iPhone 7,Red,34900,4.5,0.0
Apple iPhone 12 mini,Green,59900,4.5,0.0
Apple iPhone 12 Pro,Gold,119900,4.5,0.0
Apple iPhone 13 mini,Starlight,74900,4.5,0.0
Apple iPhone XR,Yellow,52900,4.6,0.0
Apple iPhone XR,Yellow,52900,4.6,0.0
Apple iPhone 12 Pro Max,Gold,149900,4.5,0.0
Apple iPhone 12 Pro,Silver,119900,4.5,0.0
Apple iPhone XR,Coral,47900,4.6,0.0
Apple iPhone 12 mini,Red,59900,4.5,0.0
Apple iPhone 12 mini,Purple,64900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,52900,4.6,0.0
Apple iPhone 12 mini,Purple,59900,4.5,0.0
Apple iPhone 12 mini,Black,74900,4.5,0.0
Apple iPhone 12 mini,Green,74900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,47900,4.6,0.0
Apple iPhone 7,Silver,31500,4.5,0.0
Apple iPhone 7,Rose Gold,74400,4.5,0.0
Apple iPhone 12 mini,Red,74900,4.5,0.0
Apple iPhone XR,White,52900,4.6,0.0
Apple iPhone 7 Plus,Silver,37900,4.5,6.0
Apple iPhone 13 mini,Midnight,94900,4.5,26.0
Apple iPhone 13 mini,Pink,74900,4.5,31.0
Apple iPhone 6s,Rose Gold,55999,4.5,26.0
Apple iPhone SE,Red,54900,4.5,7.0
Apple iPhone SE,Black,54900,4.5,31.0
Apple iPhone 6s Plus,Space Grey,59999,4.4,26.0
Apple iPhone 6 Plus,Space Grey,48999,4.5,0.0
Apple iPhone SE 3rd Gen,Product (Red),64900,4.4,0.0
Apple iPhone XR,Black,47900,4.6,0.0
Apple iPhone 6s Plus,Silver,59999,4.4,0.0
Apple iPhone SE,White,54900,4.5,0.0
Apple iPhone 12 Pro,Graphite,119900,4.5,0.0
Apple iPhone 13 mini,Green,74900,4.5,0.0
Apple iPhone 13 mini,Starlight,94900,4.5,0.0
Apple iPhone 13 Pro Max,Gold,139900,4.6,0.0
Apple iPhone XS Max,Silver,144900,4.6,0.0
Apple iPhone SE 3rd Gen,Midnight,64900,4.4,0.0
Apple iPhone XR,Black,47900,4.6,0.0
Apple iPhone XR,Coral,47900,4.6,0.0
Apple iPhone 7 Plus,Jet Black,42900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,91900,4.6,0.0
Apple iPhone 13 mini,Pink,94900,4.5,0.0
Apple iPhone 7 Plus,Rose Gold,85400,4.5,0.0
Apple iPhone 6s Plus,Rose Gold,59999,4.4,26.0
Apple iPhone XR,Black,52900,4.6,12.0
Apple iPhone 14 Plus,(PRODUCT)RED,95999,4.6,6.0
Apple iPhone 6s,Silver,55999,4.5,30.0
Apple iPhone 6s,Space Grey,49999,4.5,32.0
Apple iPhone 11,Yellow,43900,4.6,30.0
Apple iPhone SE,Black,44900,4.5,5.0
Apple iPhone XR,White,47900,4.6,30.0
Apple iPhone SE 3rd Gen,Midnight,54900,4.4,5.0
Apple iPhone 6s,Silver,41999,4.5,0.0
Apple iPhone 6s,Silver,49999,4.5,0.0
Apple iPhone SE,White,44900,4.5,0.0
Apple iPhone 12 mini,Green,64900,4.5,0.0
Apple iPhone 13 Pro,Silver,129900,4.7,0.0
Apple iPhone 15 Plus,Green,112999,4.6,0.0
Apple iPhone 8,Silver,39900,4.5,0.0
Apple iPhone 6s Plus,Space Grey,34900,4.4,0.0
Apple iPhone 6s Plus,Rose Gold,49999,4.4,0.0
Apple iPhone XS Max,Space Grey,144900,4.6,0.0
Apple iPhone 7,Rose Gold,34900,4.5,0.0
Apple iPhone XR,(PRODUCT)RED,52900,4.6,0.0
Apple iPhone SE,Red,39900,4.5,0.0
Apple iPhone 12 Pro Max,Graphite,129900,4.5,0.0
Apple iPhone XS,Silver,103900,4.7,0.0
Apple iPhone 11 Pro Max,Midnight Green,131900,4.7,26.0
Apple iPhone 7,Rose Gold,31500,4.5,30.0
Apple iPhone SE,Red,54900,4.5,30.0
Apple iPhone SE,White,39900,4.5,30.0
Apple iPhone 6s Plus,Gold,59999,4.4,12.0
Apple iPhone 12 mini,White,74900,4.5,7.0
Apple iPhone 6,Gold,49999,4.4,1.0
Apple iPhone 13 mini,Midnight,74900,4.5,6.0
Apple iPhone 6s Plus,Gold,49999,4.4,30.0
Apple iPhone 11 Pro Max,Space Grey,131900,4.7,0.0
Apple iPhone 6s Plus,Silver,49999,4.4,0.0
Apple iPhone 7,Jet Black,31500,4.5,0.0
Apple iPhone 7 Plus,Silver,42900,4.5,0.0
Apple iPhone XR,Blue,52900,4.6,0.0
